Index	Disease
2043	Epiretinal Membrane
2044	Fetal Alcohol Syndrome
2045	Foreign-Body Migration
2046	Leukemia, Lymphoid
2047	alpha-Mannosidosis
2048	Fragile X Syndrome
2049	Agranulocytosis
2050	Hypersensitivity
2051	Affective Disorders, Psychotic
2052	Dengue
2053	Hyperprolactinemia
2054	Galactosemias
2055	Musculoskeletal Abnormalities
2056	Placenta Diseases
2057	HIV Wasting Syndrome
2058	Pneumonia, Mycoplasma
2059	Bone Neoplasms
2060	Pyelonephritis
2061	Mammary Neoplasms, Experimental
2062	Paralyses, Familial Periodic
2063	Synovitis
2064	Malaria, Vivax
2065	Carbon Monoxide Poisoning
2066	Eye Injuries, Penetrating
2067	Alkaptonuria
2068	Atrial Flutter
2069	Catalepsy
2070	Fibromyalgia
2071	Endophthalmitis
2072	Tolosa-Hunt Syndrome
2073	Sigmoid Neoplasms
2074	Ear Neoplasms
2075	Behcet Syndrome
2076	Xerophthalmia
2077	Pyelonephritis, Xanthogranulomatous
2078	Cytomegalovirus Retinitis
2079	Mucopolysaccharidosis I
2080	Osteoporosis
2081	Obesity, Morbid
2082	Foot Ulcer
2083	Vision Disorders
2084	Gerstmann-Straussler-Scheinker Disease
2085	Skull Fractures
2086	Mycosis Fungoides
2087	Mumps
2088	Bruxism
2089	Stomach Neoplasms
2090	Back Injuries
2091	Rectal Fistula
2092	Cleft Lip
2093	Thyroid Crisis
2094	Lipidoses
2095	Plasma Cell Granuloma, Pulmonary
2096	Carcinoma, Ehrlich Tumor
2097	De Lange Syndrome
2098	Helminthiasis
2099	Osteogenesis Imperfecta
2100	Chondrodysplasia Punctata
2101	Cardiovascular Abnormalities
2102	Klebsiella Infections
2103	Spinal Injuries
2104	Meningitis, Bacterial
2105	Muscular Dystrophies
2106	Boutonneuse Fever
2107	Ankle Injuries
2108	Hyperemia
2109	Amebiasis
2110	Glycogen Storage Disease Type II
2111	Asthma, Exercise-Induced
2112	Periarthritis
2113	Glomerulonephritis
2114	Neuroma, Acoustic
2115	AIDS-Related Opportunistic Infections
2116	Skin Abnormalities
2117	Tumor Virus Infections
2118	Cleidocranial Dysplasia
2119	Fanconi Anemia
2120	Amnesia, Anterograde
2121	Pregnancy Complications, Infectious
2122	Echinococcosis, Hepatic
2123	Vascular Fistula
2124	Haemophilus Infections
2125	Lupus Erythematosus, Discoid
2126	Facial Neoplasms
2127	Astrocytoma
2128	Choroid Neoplasms
2129	Ocular Motility Disorders
2130	Respiratory Distress Syndrome, Adult
2131	Immunoblastic Lymphadenopathy
2132	Gallstones
2133	Bronchiectasis
2134	Common Bile Duct Diseases
2135	Dermoid Cyst
2136	Peripheral Nervous System Diseases
2137	Hip Fractures
2138	Galactorrhea
2139	Eye Infections, Bacterial
2140	Osteolysis, Essential
2141	Rhinitis, Vasomotor
2142	Tetanus
2143	Neuralgia
2144	Bites and Stings
2145	Nystagmus, Congenital
2146	Retinal Diseases
2147	Tendinopathy
2148	Empty Sella Syndrome
2149	Paresthesia
2150	Biliary Atresia
2151	Synovitis, Pigmented Villonodular
2152	Venous Thromboembolism
2153	Sigmoid Diseases
2154	Vascular Diseases
2155	Jejunal Diseases
2156	Adrenal Rest Tumor
2157	Endocardial Fibroelastosis
2158	Streptococcal Infections
2159	Neuralgia, Postherpetic
2160	Retroperitoneal Fibrosis
2161	Gait Ataxia
2162	Schizophrenia, Catatonic
2163	Neurasthenia
2164	Anemia
2165	Nervous System Malformations
2166	Ebstein Anomaly
2167	Cystic Adenomatoid Malformation of Lung, Congenital
2168	Periapical Abscess
2169	Paraparesis
2170	Autonomic Dysreflexia
2171	Blast Injuries
2172	Multiple Chemical Sensitivity
2173	HIV Infections
2174	Hematologic Neoplasms
2175	Pneumoperitoneum
2176	Dystonic Disorders
2177	Listeriosis
2178	Breast Diseases
2179	Apraxia, Ideomotor
2180	Subcutaneous Emphysema
2181	Trichotillomania
2182	Glucose Intolerance
2183	Infarction, Anterior Cerebral Artery
2184	Neuroleptic Malignant Syndrome
2185	Pregnancy Complications, Neoplastic
2186	Histiocytosis, Non-Langerhans-Cell
2187	Cholangitis, Sclerosing
2188	Herpes Simplex
2189	Tachycardia, Ventricular
2190	Pseudoxanthoma Elasticum
2191	Osteosarcoma
2192	Entamoebiasis
2193	Atherosclerosis
2194	Eczema
2195	Respiratory Tract Fistula
2196	Cardiomyopathy, Restrictive
2197	Dyslexia
2198	Dyskinesia, Drug-Induced
2199	Velopharyngeal Insufficiency
2200	Myoglobinuria
2201	Meningocele
2202	Fibrous Dysplasia, Polyostotic
2203	Scleroderma, Localized
2204	Salmonella Infections
2205	Histiocytic Sarcoma
2206	Trophoblastic Neoplasms
2207	Thoracic Injuries
2208	Keratoderma, Palmoplantar
2209	Takayasu Arteritis
2210	Cholestasis, Extrahepatic
2211	Pelvic Organ Prolapse
2212	Conjunctivitis, Allergic
2213	Respiratory Syncytial Virus Infections
2214	Oligodendroglioma
2215	Atrioventricular Block
2216	Mouth Abnormalities
2217	Spherocytosis, Hereditary
2218	Pancytopenia
2219	Influenza, Human
2220	Diabetes Insipidus
2221	Epilepsy, Post-Traumatic
2222	Infarction
2223	Amyloidosis
2224	Skin Diseases, Bacterial
2225	Retroperitoneal Neoplasms
2226	Prader-Willi Syndrome
2227	Adenocarcinoma
2228	Thyroid Neoplasms
2229	Teratoma
2230	Lymphoma, T-Cell
2231	Corneal Ulcer
2232	Rhinitis
2233	Intestinal Perforation
2234	Cutis Laxa
2235	Blindness, Cortical
2236	Headache Disorders, Primary
2237	Exanthema Subitum
2238	Multiple Sclerosis
2239	Hyperglycemia
2240	Bone Cysts
2241	Osteitis
2242	Prostatitis
2243	Cochlear Diseases
2244	Glomerulonephritis, Membranous
2245	Asperger Syndrome
2246	Chylothorax
2247	Myxedema
2248	Parasomnias
2249	Cat-Scratch Disease
2250	Tachycardia, Supraventricular
2251	Borrelia Infections
2252	Peroneal Neuropathies
2253	Unconsciousness
2254	Clostridium Infections
2255	Urinary Bladder Neck Obstruction
2256	Leigh Disease
2257	Otitis Externa
2258	Lymphangioleiomyomatosis
2259	Decompression Sickness
2260	Telangiectasis
2261	Shy-Drager Syndrome
2262	Herpesviridae Infections
2263	Bradycardia
2264	Focal Infection, Dental
2265	Fatigue Syndrome, Chronic
2266	Botulism
2267	Labor Pain
2268	Osteoarthritis, Knee
2269	Sertoli Cell Tumor
2270	Lupus Erythematosus, Cutaneous
2271	Sarcoma, Myeloid
2272	Venous Insufficiency
2273	Mental Retardation
2274	Auditory Diseases, Central
2275	Cicatrix
2276	Caliciviridae Infections
2277	Renal Tubular Transport, Inborn Errors
2278	Hepatitis C, Chronic
2279	Aortic Arch Syndromes
2280	Dwarfism, Pituitary
2281	Chlamydia Infections
2282	Kearns-Sayre Syndrome
2283	Lipoma
2284	Neoplasms, Radiation-Induced
2285	Mediastinal Cyst
2286	Anovulation
2287	Blastomycosis
2288	Cardiac Output, High
2289	Dysgeusia
2290	Hemochromatosis
2291	Puerperal Disorders
2292	Sleep Bruxism
2293	Cystic Fibrosis
2294	Acidosis, Lactic
2295	Infant, Newborn, Diseases
2296	Coronary Vasospasm
2297	Vaginitis
2298	Muscle Neoplasms
2299	Mycobacterium Infections
2300	Kartagener Syndrome
2301	Retropharyngeal Abscess
2302	Impulse Control Disorders
2303	Dermatomycoses
2304	Alexander Disease
2305	Arthritis, Psoriatic
2306	Adrenal Cortex Neoplasms
2307	Purpura
2308	Deficiency Diseases
2309	Heat Exhaustion
2310	Telangiectasia, Hereditary Hemorrhagic
2311	Leiomyomatosis
2312	Epidermolysis Bullosa
2313	Coronary Occlusion
2314	Headache Disorders, Secondary
2315	Splenic Rupture
2316	Pleural Effusion
2317	Carcinoma, Non-Small-Cell Lung
2318	Hypospadias
2319	Hyperemesis Gravidarum
2320	Hereditary Sensory and Motor Neuropathy
2321	Panic Disorder
2322	Lymphoma, Non-Hodgkin
2323	Maxillary Sinus Neoplasms
2324	Muscular Atrophy, Spinal
2325	Scoliosis
2326	Heart Defects, Congenital
2327	Amenorrhea
2328	Asphyxia Neonatorum
2329	Delirium, Dementia, Amnestic, Cognitive Disorders
2330	Achlorhydria
2331	Diverticulum, Stomach
2332	Tarsal Tunnel Syndrome
2333	Urinary Incontinence
2334	Tooth Injuries
2335	Mitochondrial Encephalomyopathies
2336	Starvation
2337	Frontotemporal Dementia
2338	Mucositis
2339	Sleep Paralysis
2340	Iridocyclitis
2341	Abscess
2342	Attention Deficit Disorder with Hyperactivity
2343	Pneumonia, Pneumocystis
2344	Cryptogenic Organizing Pneumonia
2345	Maxillary Diseases
2346	Enterobiasis
2347	Congenital Hypothyroidism
2348	Cadmium Poisoning
2349	AIDS Dementia Complex
2350	Tongue Neoplasms
2351	Polymyositis
2352	Hearing Loss, Conductive
2353	Facial Pain
2354	Menstruation Disturbances
2355	Arteriosclerosis
2356	Pseudohypoparathyroidism
2357	Hemopneumothorax
2358	Hemangiopericytoma
2359	Popliteal Cyst
2360	Subclavian Steal Syndrome
2361	Manganese Poisoning
2362	Skull Neoplasms
2363	Uterine Cervical Neoplasms
2364	Hepatitis E
2365	Toxemia
2366	Adnexal Diseases
2367	Leg Ulcer
2368	Stuttering
2369	Infratentorial Neoplasms
2370	Constriction, Pathologic
2371	Refsum Disease
2372	Gastroenteritis
2373	Swayback
2374	Blind Loop Syndrome
2375	Bronchiolitis Obliterans
2376	Hepatitis, Viral, Human
2377	Prion Diseases
2378	Intraoperative Complications
2379	Tachycardia, Atrioventricular Nodal Reentry
2380	Tuberculosis, Spinal
2381	Thrombocytosis
2382	Purpura, Schoenlein-Henoch
2383	Paraneoplastic Syndromes
2384	Optic Nerve Neoplasms
2385	Gas Gangrene
2386	Cutaneous Fistula
2387	Carcinoma, Lewis Lung
2388	Lymphoma, B-Cell, Marginal Zone
2389	Tuberculosis, Pulmonary
2390	Albinism, Ocular
2391	Elephantiasis, Filarial
2392	Psychoses, Substance-Induced
2393	Vitamin B Deficiency
2394	Alcoholism
2395	Hernia, Umbilical
2396	Vitamin B 12 Deficiency
2397	Depressive Disorder
2398	Asphyxia
2399	Heat Stress Disorders
2400	Anus Neoplasms
2401	Beriberi
2402	Chromosome Aberrations
2403	Angina, Unstable
2404	Heart Septal Defects
2405	Mastocytosis, Systemic
2406	Hepatitis C
2407	Hepatitis A
2408	Hepatitis B
2409	Neurofibroma
2410	Acquired Hyperostosis Syndrome
2411	Granuloma
2412	Malaria, Falciparum
2413	Rectal Prolapse
2414	Somatosensory Disorders
2415	Mucopolysaccharidoses
2416	Pneumonia, Lipid
2417	Oral Hemorrhage
2418	Urinary Bladder Neoplasms
2419	Optic Disk Drusen
2420	Sjogren's Syndrome
2421	Gait Disorders, Neurologic
2422	Tendon Injuries
2423	Scimitar Syndrome
2424	Laryngitis
2425	Schistosomiasis mansoni
2426	Osteopetrosis
2427	Takotsubo Cardiomyopathy
2428	Aniseikonia
2429	Eclampsia
2430	Aniridia
2431	Craniomandibular Disorders
2432	Urogenital Neoplasms
2433	Endotoxemia
2434	Acute Lung Injury
2435	Drug Eruptions
2436	Lymphomatoid Granulomatosis
2437	Zygomatic Fractures
2438	Breech Presentation
2439	Tongue Diseases
2440	Sleep Disorders
2441	Neurogenic Inflammation
2442	Sleep Apnea, Obstructive
2443	Williams Syndrome
2444	Contracture
2445	Speech Disorders
2446	Cheilitis
2447	Epistaxis
2448	Infarction, Posterior Cerebral Artery
2449	Eye Hemorrhage
2450	Varicose Veins
2451	Neuroendocrine Tumors
2452	Brain Ischemia
2453	Pneumonia
2454	Retinal Artery Occlusion
2455	Enterovirus Infections
2456	Mushroom Poisoning
2457	Embolism, Amniotic Fluid
2458	Nasopharyngeal Diseases
2459	Focal Infection
2460	Rhabdomyolysis
2461	Adenovirus Infections, Human
2462	Esophageal Stenosis
2463	Hernia
2464	Schistosomiasis
2465	Leukemia, Monocytic, Acute
2466	Mouth Breathing
2467	Wounds, Stab
2468	Hepatomegaly
2469	Syphilis
2470	Thoracic Neoplasms
2471	Endolymphatic Hydrops
2472	Lyme Disease
2473	Jaw Diseases
2474	Apraxias
2475	Lyme Neuroborreliosis
2476	Soft Tissue Injuries
2477	Urinary Incontinence, Stress
2478	Leukemia-Lymphoma, Adult T-Cell
2479	Amnesia, Transient Global
2480	Erythroblastosis, Fetal
2481	Spinal Osteophytosis
2482	Tracheitis
2483	Hantavirus Infections
2484	Granuloma, Laryngeal
2485	Multiple System Atrophy
2486	Articulation Disorders
2487	Psychotic Disorders
2488	Histiocytoma, Benign Fibrous
2489	Aneurysm, Infected
2490	Branchioma
2491	Supratentorial Neoplasms
2492	Keratosis
2493	Kidney Diseases
2494	Varicose Ulcer
2495	Carcinoma
2496	Infant, Premature, Diseases
2497	Anterior Compartment Syndrome
2498	Carotid Artery Injuries
2499	Hemorrhagic Disorders
2500	Nail-Patella Syndrome
2501	Vitamin A Deficiency
2502	Hernia, Obturator
2503	Trismus
2504	Laurence-Moon Syndrome
2505	Addison Disease
2506	Gingival Hyperplasia
2507	Lymphatic Diseases
2508	Thrombasthenia
2509	Gaucher Disease
2510	Branchio-Oto-Renal Syndrome
2511	Mandibular Neoplasms
2512	Amputation, Traumatic
2513	Pancreatitis
2514	Neck Injuries
2515	Head and Neck Neoplasms
2516	Holoprosencephaly
2517	Adenoviridae Infections
2518	Pancreatic Cyst
2519	Putaminal Hemorrhage
2520	Brain Stem Infarctions
2521	Hyperostosis, Diffuse Idiopathic Skeletal
2522	Kleine-Levin Syndrome
2523	Milk Hypersensitivity
2524	Fibrosis
2525	Skin Neoplasms
2526	Scleroderma, Systemic
2527	Protozoan Infections
2528	Vasculitis, Central Nervous System
2529	Mammary Neoplasms, Animal
2530	Glaucoma
2531	Respirovirus Infections
2532	Corneal Edema
2533	Acromegaly
2534	Fractures, Bone
2535	Exostoses
2536	Protein-Energy Malnutrition
2537	Consciousness Disorders
2538	Pruritus
2539	Xerostomia
2540	Near Drowning
2541	Ganglioneuroma
2542	Tuberculosis, Renal
2543	Retinal Vasculitis
2544	Anaphylaxis
2545	Anorexia Nervosa
2546	Meningitis, Cryptococcal
2547	Wolfram Syndrome
2548	Lip Diseases
2549	Pleurisy
2550	Protein Deficiency
2551	Craniocerebral Trauma
2552	Tracheal Diseases
2553	Hydrops Fetalis
2554	Alcohol-Induced Disorders, Nervous System
2555	Anisocoria
2556	Pneumoconiosis
2557	Psoriasis
2558	Choledocholithiasis
2559	Metabolism, Inborn Errors
2560	Liver Abscess, Amebic
2561	Budd-Chiari Syndrome
2562	von Hippel-Lindau Disease
2563	Discitis
2564	Cecal Neoplasms
2565	Epilepsies, Partial
2566	Glossitis
2567	Potassium Deficiency
2568	Otitis Media, Suppurative
2569	Scheuermann Disease
2570	Granulomatous Disease, Chronic
2571	Chondroma
2572	Retinal Detachment
2573	Simian Acquired Immunodeficiency Syndrome
2574	Spinal Stenosis
2575	Salivary Gland Diseases
2576	Spinal Cord Ischemia
2577	Spinal Cord Compression
2578	Granuloma, Respiratory Tract
2579	Fecal Incontinence
2580	Intracranial Embolism and Thrombosis
2581	Macular Degeneration
2582	Postoperative Hemorrhage
2583	Abducens Nerve Injury
2584	Gingival Hemorrhage
2585	Liver Failure, Acute
2586	Ischemic Attack, Transient
2587	Pick Disease of the Brain
2588	Cocaine-Related Disorders
2589	Exotropia
2590	Surgical Wound Infection
2591	Charcot-Marie-Tooth Disease
2592	Arteritis
2593	Immunologic Deficiency Syndromes
2594	Parathyroid Diseases
2595	Poliomyelitis
2596	Sprue, Tropical
2597	Diverticulum
2598	Dermatitis, Irritant
2599	Nasopharyngeal Neoplasms
2600	Niemann-Pick Diseases
2601	Polyendocrinopathies, Autoimmune
2602	Eye Diseases, Hereditary
2603	Pregnancy Complications, Hematologic
2604	Urticaria
2605	Pinealoma
2606	Meckel Diverticulum
2607	Nephrolithiasis
2608	Thyroid Diseases
2609	Chagas Disease
2610	Staphylococcal Infections
2611	Aphonia
2612	Exophthalmos
2613	Pellagra
2614	Diverticulitis
2615	Muscle Cramp
2616	Colitis
2617	Carcinoma, Hepatocellular
2618	Colonic Diseases
2619	Attention Deficit and Disruptive Behavior Disorders
2620	Hemoglobinopathies
2621	Malabsorption Syndromes
2622	Hypoxia, Brain
2623	Biliary Tract Diseases
2624	Hypoproteinemia
2625	Polymyalgia Rheumatica
2626	Pituitary Diseases
2627	Hernia, Inguinal
2628	Metabolic Syndrome X
2629	Flatfoot
2630	Leukoplakia
2631	Leukemia, Myeloid, Acute
2632	Necrosis
2633	Candidiasis, Oral
2634	Goiter
2635	Polydactyly
2636	Spondylitis, Ankylosing
2637	Lacrimal Apparatus Diseases
2638	Genetic Diseases, X-Linked
2639	Epilepsia Partialis Continua
2640	Snake Bites
2641	Malocclusion, Angle Class III
2642	Myelodysplastic Syndromes
2643	Infarction, Middle Cerebral Artery
2644	Pregnancy, Abdominal
2645	Chondrocalcinosis
2646	Hypovolemia
2647	Lentigo
2648	Chickenpox
2649	Femoral Fractures
2650	Erythema Multiforme
2651	Infectious Mononucleosis
2652	Low Back Pain
2653	Marijuana Abuse
2654	Diabetic Neuropathies
2655	Hydronephrosis
2656	Hemorrhagic Fever with Renal Syndrome
2657	Puerperal Infection
2658	Myoclonic Epilepsies, Progressive
2659	Herpes Zoster Ophthalmicus
2660	Trauma, Nervous System
2661	Mucocutaneous Lymph Node Syndrome
2662	Rabies
2663	Nevus, Pigmented
2664	Arachnoiditis
2665	Gallbladder Neoplasms
2666	Sjogren-Larsson Syndrome
2667	Kidney Tubular Necrosis, Acute
2668	Facial Nerve Diseases
2669	Bone Diseases
2670	Myelitis
2671	Antiphospholipid Syndrome
2672	Dengue Hemorrhagic Fever
2673	Disease
2674	Primary Dysautonomias
2675	Eosinophilic Granuloma
2676	Rhinitis, Allergic, Seasonal
2677	Corneal Dystrophies, Hereditary
2678	Optic Neuritis
2679	Catatonia
2680	Intracranial Arteriosclerosis
2681	Mitochondrial Diseases
2682	Hypertension, Renal
2683	Carpal Tunnel Syndrome
2684	Adie Syndrome
2685	Pasteurella Infections
2686	Eisenmenger Complex
2687	Pregnancy in Diabetics
2688	Sleep Apnea, Central
2689	Osteoma, Osteoid
2690	Borderline Personality Disorder
2691	Intracranial Hypertension
2692	Cystadenoma
2693	Epstein-Barr Virus Infections
2694	Hypocalcemia
2695	Carcinoma, Bronchogenic
2696	Appendicitis
2697	Strongyloidiasis
2698	Arthropathy, Neurogenic
2699	Alveolitis, Extrinsic Allergic
2700	Thrombophilia
2701	Callosities
2702	Nocturnal Enuresis
2703	Penile Diseases
2704	Paraneoplastic Syndromes, Nervous System
2705	Retinoblastoma
2706	Respiratory Insufficiency
2707	Splenomegaly
2708	Hyperparathyroidism, Secondary
2709	Kyphosis
2710	Hearing Loss, Bilateral
2711	Primary Myelofibrosis
2712	Dry Eye Syndromes
2713	Long QT Syndrome
2714	Rhabdomyosarcoma
2715	Nasal Polyps
2716	Bartter Syndrome
2717	Syphilis, Congenital
2718	Aphakia, Postcataract
2719	Pituitary ACTH Hypersecretion
2720	Glomerulonephritis, Membranoproliferative
2721	Migraine without Aura
2722	Sleep Disorders, Circadian Rhythm
2723	Panniculitis, Peritoneal
2724	Scurvy
2725	Amnesia, Retrograde
2726	Motor Skills Disorders
2727	Alcohol Withdrawal Delirium
2728	Pericarditis, Constrictive
2729	Iris Diseases
2730	Hemangioblastoma
2731	Dyspareunia
2732	Hypersensitivity, Delayed
2733	Ectromelia
2734	Proteus Infections
2735	Glomus Tumor
2736	Ocular Hypertension
2737	Cholesteatoma
2738	Legionnaires' Disease
2739	Kidney Calculi
2740	Precancerous Conditions
2741	Urinary Incontinence, Urge
2742	Colonic Neoplasms
2743	Persistent Fetal Circulation Syndrome
2744	Hirschsprung Disease
2745	Sciatic Neuropathy
